local_unit_code,Rural Urban,Province,Municipal Name,District,Year,Int Revenue,Fed Equalisation,Fed Conditional,Fed Complimentary,Fed Special,Capital Expenditure,Current Expenditure
50502,Rural Municipality,Lumbini,Malarani Rural Municipality,Arghakhachi,2018,8.973,,,,,133.494,185.302
50505,Rural Municipality,Lumbini,Paanini Rural Municipality,Arghakhachi,2018,10.474,,,,,98.2,229.049
50501,Rural Municipality,Lumbini,Chhatradev Rural Municipality,Arghakhachi,2018,4.274,,,,,80.925,207.593
50607,Rural Municipality,Lumbini,Rainadevi Chhahara Rural Municipality,Palpa,2018,6.364,,,,,155.443,184.584
50606,Rural Municipality,Lumbini,Ribdikot Rural Municipality,Palpa,2018,9.55,,,,,77.95,189.787
50603,Rural Municipality,Lumbini,Rambha Rural Municipality,Palpa,2018,11.425,,,,,83.467,133.374
50609,Rural Municipality,Lumbini,Mathagadhi Rural Municipality,Palpa,2018,17.719,,,,,152.649,158.152
50604,Rural Municipality,Lumbini,Bagnaskali Rural Municipality,Palpa,2018,12.875,,,,,78.906,202.716
50602,Rural Municipality,Lumbini,Purbakhola Rural Municipality,Palpa,2018,10.032,,,,,90.428,151.399
50610,Rural Municipality,Lumbini,Nisti Rural Municipality,Palpa,2018,7.851,,,,,121.908,182.809
50608,Rural Municipality,Lumbini,Tinau Rural Municipality,Palpa,2018,19.923,,,,,118.099,135.565
50910,Rural Municipality,Lumbini,Suddhodhan Rural Municipality,Kapilbastu,2018,10.93,,,,,159.486,102.336
50904,Rural Municipality,Lumbini,Bijaynagar Rural Municipality,Kapilbastu,2018,15.318,,,,,0,306.626
50908,Rural Municipality,Lumbini,Yashodhara Rural Municipality,Kapilbastu,2018,6.993,,,,,156.538,103.969
50909,Rural Municipality,Lumbini,Mayadevi Rural Municipality,Kapilbastu,2018,10.806,,,,,164.731,111.284
50806,Rural Municipality,Lumbini,Suddhodhan Rural Municipality,Rupandehi,2018,27.346,,,,,6.24,282.604
50807,Rural Municipality,Lumbini,Siyari Rural Municipality,Rupandehi,2018,24.091,,,,,157.03,145.131
50815,Rural Municipality,Lumbini,Sammarimai Rural Municipality,Rupandehi,2018,10.32,,,,,146.644,104.561
50810,Rural Municipality,Lumbini,Rohini Rural Municipality,Rupandehi,2018,11.136,,,,,149.33,130.181
50812,Rural Municipality,Lumbini,Mayadevi Rural Municipality,Rupandehi,2018,47.844,,,,,174.84,123.387
50816,Rural Municipality,Lumbini,Marchabari Rural Municipality,Rupandehi,2018,64.998,,,,,103.915,101.659
50805,Rural Municipality,Lumbini,Gaidahwa Rural Municipality,Rupandehi,2018,43.754,,,,,158.154,161.233
50814,Rural Municipality,Lumbini,Kotahimai Rural Municipality,Rupandehi,2018,20.493,,,,,141.584,115.166
50804,Rural Municipality,Lumbini,Kanchan Rural Municipality,Rupandehi,2018,26.257,,,,,137.322,122.436
50809,Rural Municipality,Lumbini,Omsatiya Rural Municipality,Rupandehi,2018,87.287,,,,,117.942,92.418
50705,Rural Municipality,Lumbini,Sarawal Rural Municipality,Nawalparasi,2018,27.332,,,,,71.119,160.623
50706,Rural Municipality,Lumbini,Pratapur Rural Municipality,Nawalparasi,2018,18.489,,,,,146.624,126.188
50704,Rural Municipality,Lumbini,Palhinandan Rural Municipality,Nawalparasi,2018,17.707,,,,,80.128,135.584
50707,Rural Municipality,Lumbini,Susta Rural Municipality,Nawalparasi,2018,18.939,,,,,131.982,82.913
51205,Urban Municipality,Lumbini,Rajapur Municipality,Bardiya,2018,40.212,,,,,173.312,234.923
51206,Urban Municipality,Lumbini,Madhuban Municipality,Bardiya,2018,47.56,,,,,171.601,165.775
51202,Urban Municipality,Lumbini,Barbardiya Municipality,Bardiya,2018,22.664,,,,,163.91,246.555
51201,Urban Municipality,Lumbini,Baasgadhi Municipality,Bardiya,2018,53.297,,,,,160.407,210.485
51203,Urban Municipality,Lumbini,Thakurbaba Municipality,Bardiya,2018,23.508,,,,,172.56,151.512
51207,Urban Municipality,Lumbini,Gulariya Municipality,Bardiya,2018,30.002,,,,,228.8,255.928
